ts_code,symbol,name,enname,aliases
2365.TW,2365.TW,昆盈,,
2367.TW,2367.TW,燿华,,燿華
2368.TW,2368.TW,金像电,,金像電
2369.TW,2369.TW,菱生,,
2371.TW,2371.TW,大同,,
2373.TW,2373.TW,震旦行,,
2374.TW,2374.TW,佳能,,
2375.TW,2375.TW,凯美,,凱美
2376.TW,2376.TW,技嘉,,
2377.TW,2377.TW,微星,,
2379.TW,2379.TW,瑞昱,,
2380.TW,2380.TW,虹光,,
2382.TW,2382.TW,广达,,廣達|Quanta
2383.TW,2383.TW,台光电,,台光電
2385.TW,2385.TW,群光,,
2387.TW,2387.TW,精元,,
2388.TW,2388.TW,威盛,,
2390.TW,2390.TW,云辰,,
2392.TW,2392.TW,正崴,,
